,Aglio,Basilico,Carota,Cavolo,Cetriolo,Cipolla,Fagiolo,Fava,Fragola,Insalata,Lattuga,Melanzana,Menta,Peperone,Pisello,Pomodoro,Porro,Prezzemolo,Scalogno,Scarola,Sedano,Spinacio,Zucca,Zucchina
Aglio,X,1,1,-1,1,0,-1,-1,1,0,2,1,0,2,-1,2,-1,0,0,1,0,0,0,0
Basilico,1,X,0,0,,,,,,,,,,,,,,,,,,,,
Carota,1,0,X,1,,,,,,,,,,,,,,,,,,,,
Cavolo,-1,0,1,X,,,,,,,,,,,,,,,,,,,,
Cetriolo,1,1,0,1,X,,,,,,,,,,,,,,,,,,,
Cipolla,0,0,2,-1,,X,,,,,,,,,,,,,,,,,,
Fagiolo,-1,1,1,1,,,X,,,,,,,,,,,,,,,,,
Fava,-1,0,0,0,,,,X,,,,,,,,,,,,,,,,
Fragola,1,0,0,-1,,,,,X,,,,,,,,,,,,,,,
Insalata,0,0,1,1,,,,,,X,,,,,,,,,,,,,,
Lattuga,2,0,2,2,,,,,,,X,,,,,,,,,,,,,
Melanzana,1,0,1,1,,,,,,,,X,,,,,,,,,,,,
Menta,0,0,0,1,,,,,,,,,X,,,,,,,,,,,
Peperone,2,1,0,2,,,,,,,,,,X,,,,,,,,,,
Pisello,-1,1,2,1,,,,,,,,,,,X,,,,,,,,,
Pomodoro,2,1,2,1,,,,,,,,,,,,X,,,,,,,,
Porro,-1,0,2,1,,,,,,,,,,,,,X,,,,,,,
Prezzemolo,0,0,0,0,,,,,,,,,,,,,,X,,,,,,
Scalogno,0,0,0,0,,,,,,,,,,,,,,,X,,,,,
Scarola,1,0,0,1,,,,,,,,,,,,,,,,X,,,,
Sedano,0,0,-1,2,,,,,,,,,,,,,,,,,X,,,
Spinacio,0,0,0,2,,,,,,,,,,,,,,,,,,X,,
Zucca,0,0,0,1,,,,,,,,,,,,,,,,,,,X,
Zucchina,0,0,0,0,,,,,,,,,,,,,,,,,,,,X
